   17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945  17879.59353945
   17286.65858442  16601.39234168  16163.84881808  15859.49549531  15636.34387056  15467.04557898  15335.54012670  15231.62110161  15148.42467718  15081.13949357  15026.28580798  14981.28529330  14944.19066108  14913.50860093  14888.07992578  14866.99622250  14849.54059531  14835.14477460  14823.35762733  14813.82179504  14806.25625415  14800.44328688  14796.21881608  14793.46537616  14792.10721873  14792.10721873  14793.46537616  14796.21881607  14800.44328687  14806.25625415  14813.82179504  14823.35762732  14835.14477460  14849.54059530  14866.99622249  14888.07992577  14913.50860092  14944.19066107  14981.28529329  15026.28580797  15081.13949356  15148.42467717  15231.62110160  15335.54012670  15467.04557897  15636.34387055  15859.49549531  16163.84881807  16601.39234168  17286.65858442
   16705.24474416  15617.01816480  14865.97976441  14325.76074062  13923.91124789  13617.12993156  13378.19914531  13189.19384294  13037.83236138  12915.42149952  12815.64270601  12733.80293212  12666.35413048  12610.57470199  12564.35227378  12526.03199224  12494.30841505  12468.14717158  12446.72742515  12429.39918905  12415.65147240  12405.08849271  12397.41203805  12392.40864533  12389.94067594  12389.94067594  12392.40864533  12397.41203805  12405.08849270  12415.65147239  12429.39918904  12446.72742514  12468.14717156  12494.30841503  12526.03199222  12564.35227377  12610.57470197  12666.35413046  12733.80293210  12815.64270599  12915.42149950  13037.83236136  13189.19384292  13378.19914529  13617.12993155  13923.91124787  14325.76074061  14865.97976440  15617.01816480  16705.24474416
   16135.19862628  14797.48296385  13832.94193586  13120.50624147  12582.27662325  12167.64570790  11842.97511002  11585.29544447  11378.50148053  11211.02467658  11074.37675832  10962.21431202  10869.72212726  10793.19656394  10729.75769763  10677.14643906  10633.57903299  10597.64114810  10568.20984370  10544.39555194  10525.49871219  10510.97735112  10500.42302520  10493.54332273  10490.14968004  10490.14968004  10493.54332272  10500.42302519  10510.97735110  10525.49871218  10544.39555193  10568.20984368  10597.64114808  10633.57903297  10677.14643903  10729.75769760  10793.19656391  10869.72212723  10962.21431199  11074.37675829  11211.02467655  11378.50148050  11585.29544445  11842.97511000  12167.64570788  12582.27662323  13120.50624146  13832.94193585  14797.48296384  16135.19862628
   15576.36793339  14083.07131711  12976.69559632  12143.07433061  11504.50624703  11007.88633067  10616.46449123  10304.37846283  10053.09318017   9849.08389450   9682.31458708   9545.22397863   9432.03821433   9338.29670841   9260.51938962   9195.96940736   9142.48143717   9098.33586190   9062.16559345   9032.88652128   9009.64536784   8991.78061416   8978.79345215   8970.32662828   8966.14969788   8966.14969788   8970.32662828   8978.79345214   8991.78061415   9009.64536782   9032.88652126   9062.16559342   9098.33586187   9142.48143714   9195.96940733   9260.51938958   9338.29670838   9432.03821430   9545.22397859   9682.31458705   9849.08389447  10053.09318014  10304.37846280  10616.46449120  11007.88633065  11504.50624701  12143.07433059  12976.69559631  14083.07131710  15576.36793339
   15028.60146374  13441.69586988  12244.22303365  11328.28773556  10618.38504135  10061.33230114   9619.29831564   9265.03664883   8978.65356745   8745.41938833   8554.27926362   8396.83068994   8266.61329269   8158.60914182   8068.88653428   7994.34277688   7932.51621924   7881.44741674   7839.57565967   7805.66134737   7778.72755411   7758.01609971   7742.95480922   7733.13361971   7728.28790241   7728.28790240   7733.13361970   7742.95480921   7758.01609970   7778.72755409   7805.66134735   7839.57565964   7881.44741671   7932.51621921   7994.34277684   8068.88653424   8158.60914177   8266.61329264   8396.83068990   8554.27926358   8745.41938829   8978.65356741   9265.03664879   9619.29831560  10061.33230111  10618.38504133  11328.28773554  12244.22303364  13441.69586987  15028.60146374
   14491.74911205  12854.13945786  11601.90665250  10632.83362234   9874.32842589   9274.32368175   8795.08877694   8408.98000353   8095.50905675   7839.31282766   7628.73940147   7454.85570399   7310.74464259   7191.00220381   7091.37379391   7008.48849360   6939.66291907   6882.75514931   6836.05511707   6798.20191291   6768.12124459   6744.97824172   6728.14217343   6717.16063779   6711.74151272   6711.74151272   6717.16063779   6728.14217341   6744.97824170   6768.12124456   6798.20191289   6836.05511703   6882.75514927   6939.66291903   7008.48849356   7091.37379386   7191.00220376   7310.74464254   7454.85570394   7628.73940142   7839.31282761   8095.50905671   8408.98000349   8795.08877690   9274.32368171   9874.32842585  10632.83362232  11601.90665248  12854.13945785  14491.74911205
   13965.66187020  12307.97974775  11027.41781199  10027.09958353   9237.62256388   8608.63305373   8103.17798808   7693.84027433   7360.05891331   7086.25234306   6860.49293177   6673.56277583   6518.27517510   6388.98257327   6281.21641727   6191.42117072   6116.75617473   6054.94690671   6004.17260679   5962.98100416   5930.22351172   5905.00612215   5886.65257589   5874.67734502   5868.76670245   5868.76670245   5874.67734502   5886.65257588   5905.00612213   5930.22351169   5962.98100413   6004.17260675   6054.94690667   6116.75617468   6191.42117067   6281.21641722   6388.98257322   6518.27517504   6673.56277578   6860.49293172   7086.25234301   7360.05891326   7693.84027428   8103.17798804   8608.63305369   9237.62256384  10027.09958350  11027.41781197  12307.97974774  13965.66187020
   13450.19182803  11794.73914175  10505.33942224   9490.28316139   8683.47436345   8036.58227977   7513.81955139   7088.38392624   6739.98917167   6453.12751460   6215.83266915   6018.79023104   5854.69181116   5717.76186043   5603.40797106   5507.96027138   5428.47570844   5362.59005298   5308.40537033   5264.40414951   5229.38372802   5202.40640040   5182.76186713   5169.93961481   5163.60952094   5163.60952094   5169.93961480   5182.76186711   5202.40640037   5229.38372799   5264.40414948   5308.40537029   5362.59005293   5428.47570839   5507.96027133   5603.40797100   5717.76186037   5854.69181110   6018.79023098   6215.83266909   6453.12751455   6739.98917162   7088.38392619   7513.81955134   8036.58227972   8683.47436341   9490.28316136  10505.33942221  11794.73914174  13450.19182803
   12945.19217419  11308.39723555  10024.68357806   9007.40928939   8193.83333929   7537.80986064   7004.94003578   6569.27581853   6211.03326960   5914.97988379   5669.28150759   5464.66808276   5293.82370955   5150.93644245   5031.36305183   4931.37736253   4847.97994532   4778.75329178   4721.75105557   4675.41309316   4638.50028753   4610.04476366   4589.31229230   4575.77456118   4569.08966163   4569.08966163   4575.77456117   4589.31229228   4610.04476363   4638.50028750   4675.41309312   4721.75105553   4778.75329173   4847.97994527   4931.37736248   5031.36305177   5150.93644239   5293.82370948   5464.66808270   5669.28150752   5914.97988373   6211.03326953   6569.27581847   7004.94003572   7537.80986059   8193.83333925   9007.40928935  10024.68357803  11308.39723554  12945.19217419
